examId,questionId,category,suggestedImageHint,questionText
"deneme_sinavi_1","29","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Taşıt yolu üzerine çizilen şekildeki yatay işaretlemenin anlamı nedir?"
"deneme_sinavi_1","31","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi ana yol - tali yol kavşağını bildiren trafik işaret levhalarından biri değildir?"
"deneme_sinavi_1","32","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki araç sürücüsü, kamu hizmeti yapan yolcu taşıtı durağının en az kaç metre mesafe dışına aracını park edebilir?"
"deneme_sinavi_1","33","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Trafik polisinin verdiği işarete göre aşağıdakilerden hangisi doğrudur?"
"deneme_sinavi_1","35","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_1","37","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Resimde görülen seyir hâlindeki aracın arkasındaki kırmızı lambaların aniden yanması, trafikteki diğer sürücülere aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_1","38","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_1","39","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Dizel motorlu aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, ısıtma bujilerinin çalışmakta olduğunu bildirir?"
"deneme_sinavi_1","41","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_1","43","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki ikaz ışığı, aşağıdakilerden hangisidir?"
"deneme_sinavi_2","13","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi kontrolsüz kavşak trafik işaretidir?"
"deneme_sinavi_2","17","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Aksine bir durum yoksa, şekildeki gibi ışıklı trafik işaret cihazında kırmızı ışığın yandığını gören sürücü ne yapmalıdır?"
"deneme_sinavi_2","19","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi dönel kavşağa gelen 1 numaralı aracın sürücüsü ne yapmalıdır?"
"deneme_sinavi_2","21","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Aksine bir durum yoksa, şekildeki motosiklet sürücüsü 60 km/saat hızla seyrederken önündeki araca en fazla kaç metre yaklaşabilir?"
"deneme_sinavi_2","22","Trafik İşaretleri","Yol üzeri yatay işaretleme (ör. yaya geçidi, taralı alan) görseli","Taşıt yolu üzerine çizilen şekildeki çizgilerin anlamı nedir?"
"deneme_sinavi_2","28","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_2","30","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdaki trafik işaretlerinden hangisinin bulunduğu yola motosiklet girebilir?"
"deneme_sinavi_2","32","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdaki trafik işaretlerinden hangisi uzunluk anlamında gabari sınırlamasının olduğunu bildirir?"
"deneme_sinavi_2","33","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti neyi yasaklar?"
"deneme_sinavi_2","34","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Şekildeki trafik görevlisinin yapmış olduğu işaretin anlamı nedir?"
"deneme_sinavi_2","35","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi trafik kazalarının en önemli sebebidir?"
"deneme_sinavi_2","39","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, şarj sisteminin çalışmadığını gösterir?"
"deneme_sinavi_2","42","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Araçların güvenli bir şekilde yavaşlamasını, durmasını ve sabitlenmesini sağlayan sistem aşağıdakilerden hangisidir?"
"deneme_sinavi_2","43","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_2","48","Trafik Adabı","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi, trafik denetim görevlileriyle iletişim kuran sürücünün trafik adabı açısından özen göstermesi gereken davranışlardandır?"
"deneme_sinavi_3","12","İlk Yardım","Soruda atıf yapılan şekil/resim görseli","Omuz ve koldaki kanamalarda, şekilde gösterilen hangi bölgeye basınç uygulanmalıdır?"
"deneme_sinavi_3","13","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Taşıt yolu üzerine çizilen şekildeki yatay işaretleme sürücülere aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_3","15","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi geçiş üstünlüğüne sahip araçların sürülmesine ilişkin esaslardan biri değildir?"
"deneme_sinavi_3","16","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre, araç sürücüsünün aşağıdakilerden hangisini yapması yasaktır?"
"deneme_sinavi_3","17","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisinde 1 numaralı taşıt sürücüsünün yaptığı asli kusurlu hâllerden sayılır?"
"deneme_sinavi_3","21","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki durumda sürücünün hangisini yapması zorunludur?"
"deneme_sinavi_3","22","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki trafik kazası, aşağıdakilerden hangisine uyulmaması sonucu meydana gelmiş olabilir?"
"deneme_sinavi_3","25","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Yerleşim yeri dışında, trafik işaret levhalarına yaklaşım yönünde kaç metre mesafede duraklamak yasaktır?"
"deneme_sinavi_3","26","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti sürücüye neyi bildirir?"
"deneme_sinavi_3","28","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki araç sürücüsü kavşaktan sağa dönerek seyrini sürdürmek istiyor. Bu sürücünün aşağıdakilerden hangisini yapması yanlıştır?"
"deneme_sinavi_3","30","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi kasisli yol işaretidir?"
"deneme_sinavi_3","31","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki kazada hangi numaralı araç sürücüsü asli kusurlu sayılır?"
"deneme_sinavi_3","33","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_3","37","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Resimde görülen seyir hâlindeki aracın arkasındaki kırmızı lambaların aniden yanması, trafikteki diğer sürücülere aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_3","38","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_3","39","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Dizel motorlu aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, ısıtma bujilerinin çalışmakta olduğunu bildirir?"
"deneme_sinavi_3","41","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_3","43","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki ikaz ışığı, aşağıdakilerden hangisidir?"
"deneme_sinavi_4","13","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi kontrolsüz kavşak trafik işaretidir?"
"deneme_sinavi_4","17","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Aksine bir durum yoksa, şekildeki gibi ışıklı trafik işaret cihazında kırmızı ışığın yandığını gören sürücü ne yapmalıdır?"
"deneme_sinavi_4","19","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi dönel kavşağa gelen 1 numaralı aracın sürücüsü ne yapmalıdır?"
"deneme_sinavi_4","21","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Aksine bir durum yoksa, şekildeki motosiklet sürücüsü 60 km/saat hızla seyrederken önündeki araca en fazla kaç metre yaklaşabilir?"
"deneme_sinavi_4","22","Trafik İşaretleri","Yol üzeri yatay işaretleme (ör. yaya geçidi, taralı alan) görseli","Taşıt yolu üzerine çizilen şekildeki çizgilerin anlamı nedir?"
"deneme_sinavi_4","28","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_4","30","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdaki trafik işaretlerinden hangisinin bulunduğu yola motosiklet girebilir?"
"deneme_sinavi_4","32","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdaki trafik işaretlerinden hangisi uzunluk anlamında gabari sınırlamasının olduğunu bildirir?"
"deneme_sinavi_4","33","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti neyi yasaklar?"
"deneme_sinavi_4","34","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Şekildeki trafik görevlisinin yapmış olduğu işaretin anlamı nedir?"
"deneme_sinavi_4","35","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi trafik kazalarının en önemli sebebidir?"
"deneme_sinavi_4","39","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, şarj sisteminin çalışmadığını gösterir?"
"deneme_sinavi_4","42","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Araçların güvenli bir şekilde yavaşlamasını, durmasını ve sabitlenmesini sağlayan sistem aşağıdakilerden hangisidir?"
"deneme_sinavi_4","43","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde bulunan şekildeki gösterge sürücüye neyi bildirir?"
"deneme_sinavi_4","48","Trafik Adabı","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi, trafik denetim görevlileriyle iletişim kuran sürücünün trafik adabı açısından özen göstermesi gereken davranışlardandır?"
"deneme_sinavi_5","5","İlk Yardım","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi çıkık belirtisi değildir?"
"deneme_sinavi_5","14","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","• Görev hâlinde iken geçiş üstünlüğü hakkına sahiptir. • Görev hâli dışında geçiş üstünlüğü işaretini ve hakkını kullanması yasaktır. • Hizmetin yerine getirilmesini sağlamak amacına uygun olması şartıyla, Kara Yolları Trafik Kanunu ve bu Yönetmelikte gösterilen trafik kısıtlamalarına ve yasaklarına bağlı değildir. Buna göre aşağıdakilerden hangisi sürülmelerine ilişkin esas ve kuralları verilen araçlardandır?"
"deneme_sinavi_5","15","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti neyi bildirir?"
"deneme_sinavi_5","18","Trafik ve Çevre Bilgisi","Araç gösterge paneli simgesi/ikaz ışığı görseli","Araç sürücülerinin duraklanan veya parkedilen yerden çıkarken; I. Işıkla veya kolla çıkış işareti vermeleri, II. Araçlarını ve araçların etrafını kontrol etmeleri, III. Yoldan geçen araçları ikaz ederek durdurmaları, IV. Görüş alanları dışında kalan yerler varsa gözcü bulundurmaları mecburidir. Verilen bilgilerden hangileri doğrudur?"
"deneme_sinavi_5","19","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti sürücüye neyi bildirir?"
"deneme_sinavi_5","20","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki otoyolda numaralanmış şeritlerden hangisi ayrılma (yavaşlama) şerididir?"
"deneme_sinavi_5","21","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Şekildeki gibi ışıklı trafik işaret cihazında, sarı ve kırmızı ışığın birlikte yanması sürücüye neyi bildirir?"
"deneme_sinavi_5","23","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Geceleyin arkasındaki aracın geçme uyarısını alan araç sürücüsünün aşağıdakilerden hangisini yapması doğrudur?"
"deneme_sinavi_5","26","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işaretinin anlamı nedir?"
"deneme_sinavi_5","27","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki kavşakta karşılaşan araçların geçiş hakkı sıralaması nasıl olmalıdır?"
"deneme_sinavi_5","29","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Kara yollarında, taşıtların yan yana gitme sayısı aşağıdakilerden hangisi ile belirlenir?"
"deneme_sinavi_5","30","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi kasisli yol işaretidir?"
"deneme_sinavi_5","31","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Okul taşıtının arkasındaki DUR ışıklı işaretinin yandığını gören arkadan gelen sürücü nasıl hareket etmelidir?"
"deneme_sinavi_5","34","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre hangi numaralı yollar tali yoldur?"
"deneme_sinavi_5","35","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki otoyolda numaralanmış şeritlerden hangisi katılma (hızlanma) şerididir?"
"deneme_sinavi_5","37","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Seyir hâlindeyken gösterge panelinde şekildeki ikaz ışığının yanması durumunda aşağıdakilerden hangisi yapılmalıdır?"
"deneme_sinavi_5","38","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Dizel motorlu aracın gösterge panelinde bulunan şekildeki uyarı lambasının yanıyor olması neyi bildirir?"
"deneme_sinavi_5","42","Motor ve Araç Tekniği","İlgili trafik işaret/levha görseli","Şekilde soru işareti (?) ile gösterilen ve motorda yanma sonucu oluşan gazların dışarı atılmasını sağlayan parça aşağıdakilerden hangisidir?"
"deneme_sinavi_6","12","İlk Yardım","İlgili görsel (işaret/şekil)","Çocuklarda temel yaşam desteği uygulamasıyla ilgili verilenlerden hangisi doğrudur?"
"deneme_sinavi_6","15","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Kavşaklara yaklaşırken yol üzerine çizilmiş şekildeki oklar sürücülere neyi bildirir?"
"deneme_sinavi_6","21","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre, geçme işlemi yapan 1 numaralı aracın sürücüsü için aşağıdakilerden hangileri söylenebilir? I- Geçiş kurallarına uyduğu II- Karşı yönden gelen aracın hızını dikkate almadığı III- Geçilen araçtan yeterince uzaklaşmadan sağ şeride geçtiği"
"deneme_sinavi_6","23","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi trafik görevlisinin geceleyin ""dur"" işaretidir?"
"deneme_sinavi_6","24","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işaretinin bulunduğu yola aşağıdaki taşıtlardan hangisi girebilir?"
"deneme_sinavi_6","27","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Şekildeki tehlike uyarı işaretini gören sürücü aşağıdakilerden hangisini yapmalıdır?"
"deneme_sinavi_6","28","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","B sınıfı sürücü belgesine sahip olan Mehmet, A2 sınıfı sürücü belgesi almak için başvuru yapıyor. Bu durumda Mehmet, aşağıda resimleri verilen araçlardan hangisini kullanmak istemektedir?"
"deneme_sinavi_6","33","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti neyi bildirir?"
"deneme_sinavi_6","34","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki araç sürücüsü, kamu hizmeti yapan yolcu taşıtı durağının en az kaç metre mesafe dışına aracını park edebilir?"
"deneme_sinavi_6","35","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Trafik görevlisinin geceleyin ışıklı işaret çubuğunu şekildeki gibi hareket ettirmesinin sürücüler için anlamı nedir?"
"deneme_sinavi_6","36","Motor ve Araç Tekniği","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisinin motor çalışma sıcaklığına ulaşmadan önce yapılması uygun değildir?"
"deneme_sinavi_6","40","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, araç yakıtının bitmek üzere olduğunu bildirir?"
"deneme_sinavi_6","41","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Araçların güvenli bir şekilde yavaşlamasını, durmasını ve sabitlenmesini sağlayan sistem aşağıdakilerden hangisidir?"
"deneme_sinavi_6","45","Trafik Adabı","İlgili trafik işaret/levha görseli","Ters yönden gelen bir sürücüye ""Bu sokak tek yönlü, herhalde siz girişteki levhayı görmediniz, lütfen daha dikkatli olun."" diyen bir sürücü, trafikteki temel değerlerden hangisine uygun davranmıştır?"
"deneme_sinavi_7","1","İlk Yardım","İlgili görsel (işaret/şekil)","Yetişkinlerde temel yaşam desteği uygulaması ile ilgili olarak verilenlerden hangisi doğrudur?"
"deneme_sinavi_7","4","İlk Yardım","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi kılcal damar kanamasının özelliğidir?"
"deneme_sinavi_7","7","İlk Yardım","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi ilk yardımın temel kurallarından biri değildir?"
"deneme_sinavi_7","15","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi sola dönüş yapacak olan 2 numaralı araç sürücüsü aşağıdakilerden hangilerini yapmalıdır? I. Dar bir kavisle dönmeli II. Yayanın geçmesini beklemeli III. Sola dönüş lambasını yakmalı IV. İlk geçiş hakkını 1 numaralı araca vermeli"
"deneme_sinavi_7","18","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Trafik zabıtası veya trafik işaret levhası ve ışıklı işaret cihazı bulunmayan kontrolsüz kavşaklarda, aşağıdakilerden hangisinin yapılması yanlıştır?"
"deneme_sinavi_7","19","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki kara yoluna ne ad verilir?"
"deneme_sinavi_7","20","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Trafik görevlisinin hangi hareketi geceleyin ""geç"" işaretidir?"
"deneme_sinavi_7","22","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi iki yönlü trafik işaret levhasıdır?"
"deneme_sinavi_7","23","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisine yaklaşıldığını bildirir?"
"deneme_sinavi_7","25","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Trafik uygun olsa bile şekildeki aracın hangi yöndeki hareketi kesinlikle yasaktır?"
"deneme_sinavi_7","26","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki durumda sürücünün hangisini yapması zorunludur?"
"deneme_sinavi_7","29","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekilde görülen geçiş üstünlüğüne sahip araçların, görev hâlinde karşılaşmaları durumunda ilk geçiş hakkını hangisi kullanmalıdır?"
"deneme_sinavi_7","43","Motor ve Araç Tekniği","İlgili trafik işaret/levha görseli","Şekilde soru işareti (?) ile gösterilen ve aracın hızı ile torkunu ayarlayan güç aktarma organı hangisidir?"
"deneme_sinavi_7","44","Motor ve Araç Tekniği","İlgili trafik işaret/levha görseli","Şekilde soru işareti (?) ile gösterilen ve araç için gerekli elektriği üreten parçaya ne ad verilir?"
"deneme_sinavi_7","49","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi, trafik kazalarının ülke ekonomisine verdiği zararlardan biri değildir?"
"deneme_sinavi_7","50","Trafik Adabı","Soruda atıf yapılan şekil/resim görseli","Aşağıdakilerden hangisi, öfkeyi başarılı bir şekilde yönetmek için önerilen davranışlardan biri değildir?"
"deneme_sinavi_8","4","İlk Yardım","Soruda atıf yapılan şekil/resim görseli","Resimde görülen pozisyon, aşağıdaki durumların hangisinde uygulanır?"
"deneme_sinavi_8","13","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdaki trafik tanzim işaretlerinden hangisi ""taşıt trafiğine kapalı yol"" anlamındadır?"
"deneme_sinavi_8","14","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Aksine bir durum yoksa, ışıklı trafik işaret cihazında kırmızı ışık yanmakta ise sürücü ne yapmalıdır?"
"deneme_sinavi_8","17","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Manevra yapacak sürücü aşağıdakilerden hangisini yapmalıdır?"
"deneme_sinavi_8","21","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işaretini gören sürücünün aşağıdakilerden hangisini yapması yanlıştır?"
"deneme_sinavi_8","23","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi sağa dönüş yapmak isteyen sürücülerin aşağıdakilerden hangisini yapması yanlıştır?"
"deneme_sinavi_8","25","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki taşıt yolu üzerine çizilen yatay işaretlemeye göre araç sürücüsü nasıl davranmalıdır?"
"deneme_sinavi_8","26","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi bir karşılaşmada ilk geçiş hakkını hangisi kullanmalıdır?"
"deneme_sinavi_8","27","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_8","28","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki araçların seyrettiği taşıt yolunun çizgilerle ayrılmış her bir bölümüne ne ad verilir?"
"deneme_sinavi_8","30","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi sürücüye ait trafik kazası sebebidir?"
"deneme_sinavi_8","33","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?"
"deneme_sinavi_8","34","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekildeki gibi eğimsiz iki yönlü dar yoldaki karşılaşmada 2 numaralı aracın sürücüsü ne yapmalıdır?"
"deneme_sinavi_8","39","Motor ve Araç Tekniği","Soruda atıf yapılan şekil/resim görseli","Şekildeki araç güç aktarma organlarının adları hangi seçenekte doğru olarak verilmiştir?"
"deneme_sinavi_8","42","Motor ve Araç Tekniği","Araç gösterge paneli simgesi/ikaz ışığı görseli","Aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, arka cam rezistansının çalışmakta olduğunu bildirir?"
"deneme_sinavi_8","46","Trafik Adabı","İlgili trafik işaret/levha görseli","Ters yönden gelen bir sürücüye ""Bu sokak tek yönlü, herhalde siz girişteki levhayı görmediniz, lütfen daha dikkatli olun."" diyen bir sürücü, trafikte aşağıdaki değerlerden hangisine uygun davranmıştır?"
"deneme_sinavi_9","8","İlk Yardım","İlgili görsel (işaret/şekil)","Diz ile kalça arasındaki kemikte kırık varsa yaralıya aşağıdakilerden hangisi uygulanır?"
"deneme_sinavi_9","13","Trafik İşaretleri","İlgili trafik işaret/levha görseli","Aşağıdakilerden hangisi ""tehlikeli viraj yön levhası"" anlamındadır?"
"deneme_sinavi_9","14","Trafik ve Çevre Bilgisi","Soruda atıf yapılan şekil/resim görseli","Şekilde iki yönlü ve üç şeritli kara yolu bölümünde seyreden araçlar görülmektedir. Yol çizgilerine göre hangi numaralı araç sürücüleri hatalı sollama yapmaktadır?"
"deneme_sinavi_9","16","Trafik ve Çevre Bilgisi","İlgili trafik işaret/levha görseli","Bölünmüş kara yollarında geçilen araç sürücüleri, geçmek isteyen aracın geçiş işaretini aldığında ne yapmak zorundadır?"
"deneme_sinavi_9","17","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Şekle göre aşağıdakilerden hangisi yasaktır?"
"deneme_sinavi_9","18","Trafik ve Çevre Bilgisi","İlgili görsel (işaret/şekil)","Aşağıdakilerden hangisi geçiş üstünlüğüne sahip araçların sürülmesine ilişkin esaslardan biri değildir?"
